genres,1970-1980,1980-1990,1990-2000,2000-2010,2010-2020,total
Fiction,1139,1936,3168,5894,4064,16201
Fantasy,345,751,1207,2708,2491,7502
Romance,159,405,842,2384,3128,6918
Young Adult,205,333,658,2112,2063,5371
Contemporary,143,367,819,1855,1985,5169
Nonfiction,444,611,1017,1664,820,4556
Novels,524,768,1095,1409,581,4377
Historical Fiction,373,642,932,1458,879,4284
Adult,79,258,706,1499,1561,4103
Mystery,184,315,781,1577,1128,3985
Historical,289,482,757,1373,743,3644
Adventure,223,411,633,1370,808,3445
Audiobook,131,256,467,1305,1234,3393
Literature,496,652,759,794,331,3032
Classics,775,756,570,491,323,2915
Science Fiction,220,427,559,846,729,2781
Paranormal,40,101,224,920,1382,2667
Thriller,137,271,543,968,644,2563
Childrens,216,303,495,1073,442,2529
Humor,166,249,386,831,504,2136
Science Fiction Fantasy,191,386,569,628,275,2049
Magic,46,142,281,762,814,2045
Crime,98,167,473,798,463,1999
History,231,296,471,695,301,1994
Suspense,91,167,354,667,556,1835
Biography,143,227,384,714,341,1809
Chick Lit,18,81,213,744,649,1705
Horror,103,210,359,557,432,1661
Mystery Thriller,79,153,379,653,390,1654
Middle Grade,93,126,254,793,372,1638
Adult Fiction,32,132,321,699,451,1635
Supernatural,24,80,134,587,691,1516
Philosophy,243,259,319,464,205,1490
Urban Fantasy,7,53,129,546,755,1490
Literary Fiction,151,257,360,461,251,1480
Contemporary Romance,8,48,119,315,985,1475
British Literature,148,209,314,461,230,1362
Memoir,103,154,277,517,273,1324
Religion,160,193,311,466,162,1292
Drama,93,125,251,411,385,1265
Teen,26,40,138,702,353,1259
Short Stories,126,207,224,313,296,1166
Paranormal Romance,0,1,49,370,733,1153
War,114,148,231,390,184,1067
Realistic Fiction,38,53,131,536,304,1062
Christian,84,102,196,421,252,1055
Graphic Novels,18,83,169,535,218,1023
Politics,114,133,224,348,160,979
Biography Memoir,73,104,209,401,190,977
Psychology,83,128,240,342,180,973
Comics,19,84,163,501,186,953
American,144,227,257,248,70,946
Spirituality,120,124,255,317,101,917
Vampires,9,26,72,329,446,882
School,128,154,232,261,95,870
High Fantasy,43,119,227,310,163,862
Family,21,68,120,344,280,833
New Adult,0,1,2,27,788,818
20th Century,173,208,208,101,98,788
Self Help,49,90,191,280,173,783
Autobiography,54,90,153,317,163,777
Science,74,97,170,268,165,774
Historical Romance,34,106,170,269,188,767
Juvenile,64,84,130,343,145,766
Erotica,9,15,24,165,550,763
Dystopia,48,59,85,182,367,741
Action,25,52,96,299,241,713
Animals,63,81,151,248,128,671
Comedy,54,98,142,245,124,663
Poetry,104,118,166,163,96,647
Christian Fiction,17,47,100,265,195,624
France,79,91,121,231,101,623
Epic Fantasy,33,95,178,206,107,619
LGBT,38,51,109,176,241,615
Detective,25,57,176,236,82,576
Inspirational,34,45,127,235,119,560
Speculative Fiction,88,127,141,137,54,547
Manga,3,27,84,345,87,546
Mythology,38,68,88,180,163,537
Coming Of Age,36,48,94,233,104,515
Military Fiction,47,70,94,158,141,510
Roman,37,62,101,212,87,499
Reference,52,96,121,168,60,497
Young Adult Fantasy,7,25,47,191,191,461
Graphic Novels Comics,9,60,80,193,114,456
Book Club,6,18,61,240,127,452
19th Century,89,119,123,83,37,451
Christianity,59,72,108,161,50,450
Travel,38,58,104,176,71,447
Business,14,50,81,158,122,425
Asia,27,54,89,178,67,415
Essays,52,71,104,126,58,411
Womens,47,61,93,140,59,400
Art,35,57,84,143,79,398
Unfinished,39,47,61,153,82,382
World War II,37,59,81,126,75,378
Feminism,48,65,92,77,81,363
Time Travel,19,38,76,115,114,362
Abuse,2,7,31,61,260,361
Magical Realism,26,61,93,109,71,360
Sociology,42,45,91,131,50,359
German Literature,36,63,62,104,89,354
Personal Development,14,36,79,141,84,354
Romantic Suspense,7,14,62,123,147,353
Music,12,41,54,95,150,352
American History,50,52,79,128,41,350
Faith,43,43,77,143,44,350
Love,11,13,38,112,174,348
High School,6,9,18,146,166,345
Dragons,13,38,65,136,89,341
Post Apocalyptic,19,39,30,67,185,340
Erotic Romance,1,4,5,78,250,338
Cultural,21,41,65,147,58,332
Epic,22,47,105,87,69,330
Theology,45,56,84,112,32,329
Comic Book,7,42,67,133,76,325
Dark,13,15,35,46,215,324
Queer,26,39,81,97,80,323
Space,26,49,99,96,51,321
Medieval,24,50,66,126,53,319
The United States Of America,46,73,85,90,23,317
Westerns,27,58,73,93,65,316
Amazon,0,6,9,37,260,312
Space Opera,31,60,98,80,39,308
Fairy Tales,18,31,48,106,104,307
Spanish Literature,37,50,64,92,59,302
Sports,14,19,49,91,129,302
Canada,22,40,59,119,60,300
Anthologies,26,48,69,96,60,299
Africa,27,39,78,105,43,292
Witches,3,11,19,98,161,292
Picture Books,44,67,63,68,39,281
Japan,19,47,60,105,46,277
