genres,final_smoothed_value
13th Century,1.036455792486497
14th Century,1
16th Century,2.5505374116591977
17th Century,2.5121738750893465
19th Century,1.85537901
20th Century,8.209040031802118
Academic,0.7989854362338846
Action,0.9800099435985107
Adult,9.793202565699172
Adult Fiction,7.205910576688948
Adventure,2.412561894437941
African American,0.34628516650296937
Aliens,1.0351357141600688
American,-0.419108055
American Fiction,1.4553361212168432
American History,2.632132479638704
Ancient,2.378116488776366
Ancient History,1.939495264411951
Animals,-1.868872693
Anthologies,4.992834215327972
Anti Racist,1.0258056109236793
Architecture,1.5210523618921363
Art,0.30711108762597905
Arthurian,2.448923527236472
Asia,1.5259711954747615
Asian Literature,1.7737107169715127
Atheism,2.547751470421382
Audiobook,17.870510626036342
Autobiography,-3.332803166
BDSM,1.0714233102500599
Banned Books,1.3233137532668782
Baseball,1.8756470293590113
Biography,-3.060302014
Biography Memoir,-2.539097539
Biology,3.1070034296200686
Books About Books,3.909418735078386
British Literature,1.3364507108513064
Bulgaria,1
Bulgarian Literature,1.1555880642085072
Business,1.3522724288959274
Canada,1.1293798597414404
Canadian Literature,2.276189976
Cartoon,1.2179487513968668
Cats,2.1072012524361345
Chapter Books,2.0982531016364305
Chick Lit,6.966802985490542
Childrens,-1.236253491
China,2.511196930742779
Chinese Literature,1.3754937913908045
Christian,3.0399275537720314
Christian Fiction,3.0416842977832466
Christian Living,1.653501733400421
Christian Non Fiction,0.6004095633750162
Christianity,-0.410843185
Classic Literature,3.6253462190322843
Classics,28.148570550720763
Collections,2.044306293528018
College,1.0243867826910837
Comedy,1.978261980988331
Comic Book,5.762401159314787
Comics,5.142568158431883
Coming Of Age,-3.059473713
Contemporary,30.63430104648678
Contemporary Romance,12.07318010586954
Counter Culture,1
Crime,-2.634189685
Criticism,1.4408697732226015
Cultural,-1.302123334
Czech Literature,1.4238287153477769
Dark,6.022733967282445
Dark Fantasy,1.0172942526939615
Design,2.3010748468584157
Drama,11.797088380360515
Dystopia,0.12153023159569476
Economics,0.7249851205768647
Education,1.930237156178385
Egypt,2.9646395447744296
Egyptian Literature,2.0434799682700873
Epic,3.9274011799215103
Epic Fantasy,0.5583106112767808
Erotica,2.1119639740367466
Essays,3.839737555920486
European Literature,1.2608694656688888
Evolution,1.9657731293062168
Fairy Tales,2.777561962411956
Faith,0.9558720128136367
Family,-4.27265275
Fantasy,19.36681403421902
Female Authors,1.7311017658386751
Feminism,8.957646856059537
Fiction,55.72547099587588
Finnish Literature,1.6640313064666532
Folklore,1.0482361420374038
Food,1.9134139862311714
France,4.224171699787483
French Literature,2.8852765153786972
Futurism,1
Gender,2.2598123843666675
Gender Studies,1.1904817125622933
German Literature,5.505269606548213
Germany,2.761481611444446
Gothic,2.0974691284432243
Graphic Novels,4.000000793866251
Greece,2.016128568899837
Hard Boiled,1.7564008821855057
Hard Science Fiction,1.147887983792685
Health,2.9796860760465296
High Fantasy,-3.360822696
High School,3.0286951456286877
Hinduism,1.0666660105744639
Historical,7.387154732488739
Historical Fantasy,1.8336302839321592
Historical Fiction,11.294484555693014
Historical Romance,2.9101653852800538
History,1.5744737567542035
Holocaust,1.9180172416505892
Horror,3.811219297998063
Hugo Awards,0.9673687817694293
Humor,7.779906026101807
India,4.397014022525225
Indonesian Literature,1.757406559958066
Inspirational,-2.655956731
Iran,2.0712881062766417
Ireland,1.0585608345434006
Irish Literature,1.898278877208668
Islam,1.658974144469926
Italian Literature,3.159791832113993
Italy,0.7279099151900559
Japan,4.719738764389145
Japanese Literature,2.686625715937338
Jewish,3.6797029234495833
Juvenile,3.5241861006626314
Kids,3.846068332753291
LGBT,4.176727879863762
Language,1.5735750991544428
Latin American,1.696206498391533
Latin American Literature,1.476829080402326
Literary Criticism,1.3655809934967171
Literary Fiction,7.027713860904369
Literature,8.508831668254738
Love,1.977273158568979
Love Story,2.799899528039352
M M Romance,6.090908669533334
Magic,2.817748520337042
Magical Realism,4.078562060042566
Media Tie In,3.778130993392436
Medieval,2.3680852824004095
Memoir,0.8736048614272707
Mental Health,9.681816387834274
Mental Illness,2.8456954750609587
Middle Grade,-2.748267913
Military Fiction,1.322354359419144
Military History,2.691576166064397
Modern,1.7546452216166617
Modern Classics,1.0000197411704284
Mystery,-5.256179872
Mystery Thriller,2.587293440979076
Mythology,2.0079486934269957
Native Americans,1.034482343
New Age,2.8888737301748706
New York,2.638991147591132
Nobel Prize,2.288180996244589
Noir,3.8099240161495134
Nonfiction,3.533353377940438
Novella,4.976190348969488
Novels,10.920490912089761
Own,1.8042399390968253
Philosophy,1.4693384459647114
Physics,2.2242397523043675
Picture Books,3.1852589061964447
Plays,1.6528050133148344
Poetry,6.489515800833485
Poetry Plays,1
Political Science,1.4812443060459786
Politics,-0.962476096
Popular Science,2.9269961008882204
Portugal,1.8570433281946574
Post Apocalyptic,5.022220061262227
Psychiatry,1.5091057322950783
Psychology,2.2136449130350777
Pulp,1.7719199467575752
Queer,6.424444942744468
Race,2.483993658715149
Read For School,1.4545097423541082
Realistic Fiction,-4.658319895
Reference,-2.86452084
Religion,-1.029636845
Research,1.649233393017726
Roman,0.099521023
Romance,27.978752214234923
Romantic,5.184009993073206
Russia,3.004241717835064
Russian Literature,2.3902432357386516
Scandinavian Literature,2.0623419704899195
School,4.152920410196758
Science,0.25230544902338936
Science Fiction,0.7850861077710656
Science Fiction Fantasy,1.8670495655264299
Scotland,6.9059229147423595
Scripture,1.227329091438476
Self Help,2.291028362953448
Serbian Literature,0.9335239249074444
Sexuality,2.6770976212591227
Short Stories,10.497751880203724
Short Story Collection,1.9943180324675296
Social,1.5416664568390925
Social Justice,2.712494662
Sociology,-0.4645134
Southern,0.6340086359308648
Space,3.4367912704242483
Space Opera,1.1967593783196429
Spain,1.7710620911016866
Spanish Literature,3.0363783930973147
Speculative Fiction,0.29642128588829575
Spirituality,-1.778326978
Sports,4.845055077021867
Steampunk,2.000001057630173
Storytime,2.509527262870515
Supernatural,-1.358852141
Survival,1.5687709440475137
Suspense,8.979049529718036
Swedish Literature,4.069068584298438
Sword and Sorcery,1.6007125426339524
Technology,4.0697671835909395
Textbooks,1.8253985487329476
The United States Of America,1.2740672854773927
Theatre,1.2268032191187273
Theology,2.0698903811204574
Theory,2.006752945166695
Thriller,2.0201658745583684
Time Travel,3.0149392992277733
Travel,-0.348522297
True Crime,0.7012968390543937
Turkish,1.7989996193453952
Ukraine,1.5235787080497998
Unfinished,-0.462444841
Victorian,3.426086560130715
War,-3.672556661
Weird Fiction,1.973591297386097
Westerns,2.636655678
Womens,4.435879738969234
Womens Studies,1.4347822620434938
World History,1.4017243301225204
World War II,1.887660614381582
Writing,1.748569930400714
Young Adult,9.987837169323472
1st Grade,1.735278827167129
Africa,-0.631139313
African American Literature,1.4714066272404525
Alternate History,2.2497991336776404
Americana,1.7211604482422422
Anthropology,0.826783483
Bande Dessinée,2.527629064
Batman,1.4189786330323502
Belgian,1
Belgium,1.1637294891409498
Book Club,8.706633575625785
Brazil,1.1293442283254418
Buddhism,3.0225219713810603
Catholic,1.5704491746816962
Church History,1
Conspiracy Theories,1.4285711284612577
Cults,1.3333283463104455
Dc Comics,2.176256509680874
Detective,-1.693738287
Diary,2.4967938476091103
Discipleship,0.8205048054862147
Dragons,-1.545423416
Emotion,1
Engineering,1.1763614861361447
Environment,3.0279845179255074
Espionage,3.280029154
European History,1.4766416346529534
Film,1.649108392470293
Gay,5.844408918036394
Geography,1.2647029987772411
Ghosts,0.9729721735591779
Graphic Novels Comics,1.5669429100769952
Harlequin,2.3325118871010915
Harlequin Romance,1
Journalism,1.473978713219875
Law,2.155241495152709
Linguistics,1.614489209148719
Manga,1.9999516395338404
Maritime,1.7714530116529852
Marriage,4.7126595528390745
Monsters,1.8415995767271074
Murder Mystery,1.2078009478252794
Music,0.9782611955041259
Natural History,2.040362979739632
Nature,4.258845343277706
Naval Historical Fiction,1.0257421679609298
Occult,1.8012985874563372
Pakistan,1.046350155
Paranormal,1.3814190631111836
Parenting,1.0643926226014075
Personal Development,5.998229152081012
Poland,2.079544997789246
Polish Literature,1.855545810746066
Portuguese Literature,2.257691752541841
Psychoanalysis,1.1861469938345697
Psychological Thriller,5.716577439970057
Relationships,1.0400785438737596
Retellings,4.319789836345361
Romanticism,1.1315649851876006
Seinen,1.2873460601636784
Sequential Art,2.590643042856456
Social Science,3.047618551960458
Society,2.471470977207081
South Africa,1.5812803723886253
Spy Thriller,1.9374793288127414
Superheroes,4.9167663870541505
Teaching,1.1032285386006293
Teen,0.5971626662948575
United States,1.4064505844672954
Urban,4.296551662786344
Urban Fantasy,2.0238643622824277
Utopia,0.821428528
Werewolves,-3.407954513
Witches,0.999999978
Womens Fiction,1.127079737152998
World War I,2.3171833330399507
2nd Grade,3.333326555092998
Apocalyptic,5.117616234757432
Art History,1.9679125501732362
Artificial Intelligence,1.0980771858546479
Australia,2.3026207184171037
Biblical Fiction,1.314285427758892
Category Romance,2.9999999552965164
Christmas,4.917416965557066
Clean Romance,4.025970769032161
Cookbooks,2.566131194087605
Cooking,3.1847287413146557
Counselling,1.7173910821202387
Cozy Mystery,5.839338924
Diets,1.272760671392505
Divorce,0.9999220482138454
Dutch Literature,1.6042038414767554
Esoterica,1
God,1.0665376023258968
Gothic Romance,1.000082205136172
Grad School,1.0000211004356097
Halloween,1.0857139979083454
Holiday,3.4034364296816895
Hungarian Literature,0.9428362988056243
Hungary,1.1758273268787538
Israel,2.4788356070013045
Judaism,1.9829545689030155
Lebanon,1.2766797447356497
Medical,1.8202940182507628
Metaphysics,2.412931254093409
Mysticism,1.1933249812792885
New Testament,1
Nutrition,2.333342237403414
Photography,2.527041474569386
Pirates,2.113945770867163
Regency,4.547564750458233
Robots,0.971639344
Romania,1.1876919471144196
Romantic Suspense,0.9999999351431216
Spanish Civil War,1
Surreal,1
Turkish Literature,2.4939265754117304
Vampires,0.9728475874617466
Zen,1.141562465064574
18th Century,1.4866387478487384
American Revolution,1.415230375620625
Anarchism,1.0180510980074755
Art and Photography,1.299999790245846
Astronomy,2.5158744602570327
Computer Science,1.4924726666735766
Computers,1.923912710188004
Danish,1.5142487758729313
Death,2.210635354404349
Eastern Philosophy,1.4166664555683248
