year,genres,count
1970,13th Century,1
1970,14th Century,1
1970,16th Century,1
1970,17th Century,1
1970,19th Century,8
1970,20th Century,22
1970,Academic,1
1970,Action,2
1970,Adult,6
1970,Adult Fiction,1
1970,Adventure,22
1970,African American,3
1970,Albanian Literature,1
1970,Aliens,1
1970,American,7
1970,American Fiction,1
1970,American History,1
1970,Ancient,4
1970,Ancient History,4
1970,Animals,9
1970,Anthologies,2
1970,Anti Racist,1
1970,Architecture,1
1970,Art,2
1970,Arthurian,2
1970,Asia,8
1970,Asian Literature,3
1970,Atheism,2
1970,Audiobook,9
1970,Autobiography,3
1970,BDSM,1
1970,Banned Books,2
1970,Baseball,1
1970,Biography,7
1970,Biography Memoir,5
1970,Biology,1
1970,Books About Books,1
1970,British Literature,11
1970,Bulgaria,1
1970,Bulgarian Literature,1
1970,Business,1
1970,Canada,3
1970,Canadian Literature,3
1970,Cartoon,1
1970,Cats,4
1970,Chapter Books,4
1970,Chick Lit,2
1970,Childrens,23
1970,China,1
1970,Chinese Literature,1
1970,Christian,6
1970,Christian Fiction,2
1970,Christian Living,2
1970,Christian Non Fiction,1
1970,Christianity,4
1970,Classic Literature,2
1970,Classics,87
1970,Collections,3
1970,College,1
1970,Comedy,3
1970,Comic Book,1
1970,Comics,3
1970,Coming Of Age,3
1970,Contemporary,9
1970,Contemporary Romance,1
1970,Counter Culture,1
1970,Crime,5
1970,Criticism,1
1970,Cultural,2
1970,Czech Literature,1
1970,Dark,1
1970,Dark Fantasy,3
1970,Design,1
1970,Drama,7
1970,Dystopia,3
1970,Economics,2
1970,Education,1
1970,Egypt,3
1970,Egyptian Literature,1
1970,Epic,2
1970,Epic Fantasy,5
1970,Epic Poetry,1
1970,Erotica,1
1970,Essays,6
1970,European Literature,1
1970,Evolution,1
1970,Fairy Tales,1
1970,Faith,2
1970,Family,2
1970,Fantasy,33
1970,Female Authors,1
1970,Feminism,4
1970,Fiction,108
1970,Finnish Literature,2
1970,Folklore,1
1970,Food,1
1970,France,12
1970,French Literature,6
1970,Futurism,1
1970,Gender,1
1970,Gender Studies,1
1970,German Literature,2
1970,Germany,2
1970,Gothic,2
1970,Graphic Novels,2
1970,Greece,2
1970,Hard Boiled,1
1970,Hard Science Fiction,1
1970,Health,1
1970,High Fantasy,6
1970,High School,1
1970,Hinduism,1
1970,Historical,28
1970,Historical Fantasy,1
1970,Historical Fiction,42
1970,Historical Romance,1
1970,History,19
1970,Holocaust,1
1970,Horror,7
1970,Hugo Awards,1
1970,Humor,14
1970,India,2
1970,Indonesian Literature,1
1970,Inspirational,3
1970,Iran,1
1970,Ireland,1
1970,Irish Literature,2
1970,Islam,7
1970,Italian Literature,2
1970,Italy,1
1970,Japan,4
1970,Japanese Literature,3
1970,Jewish,1
1970,Juvenile,9
1970,Kids,4
1970,LGBT,2
1970,Language,1
1970,Latin American,4
1970,Latin American Literature,2
1970,Literary Criticism,2
1970,Literary Fiction,19
1970,Literature,52
1970,Love,2
1970,Love Story,1
1970,M M Romance,1
1970,Magic,4
1970,Magical Realism,2
1970,Marathi,1
1970,Media Tie In,1
1970,Medieval,3
1970,Memoir,5
1970,Mental Health,1
1970,Mental Illness,2
1970,Middle Grade,10
1970,Military Fiction,6
1970,Military History,2
1970,Modern,1
1970,Modern Classics,2
1970,Mystery,12
1970,Mystery Thriller,2
1970,Mythology,6
1970,Native Americans,3
1970,New Age,1
1970,New York,2
1970,Nobel Prize,2
1970,Noir,1
1970,Nonfiction,34
1970,Novella,2
1970,Novels,52
1970,Own,1
1970,Philosophy,24
1970,Physics,1
1970,Picture Books,5
1970,Plays,3
1970,Poetry,11
1970,Poetry Plays,1
1970,Political Science,2
1970,Politics,11
1970,Popular Science,1
1970,Portugal,1
1970,Post Apocalyptic,2
1970,Pre Raphaelite,1
1970,Psychiatry,1
1970,Psychology,5
1970,Pulp,1
1970,Queer,1
1970,Race,4
1970,Read For School,6
1970,Realistic Fiction,3
1970,Reference,5
1970,Religion,14
1970,Research,1
1970,Roman,5
1970,Romance,12
1970,Romantic,1
1970,Russia,5
1970,Russian Literature,5
1970,Scandinavian Literature,3
1970,School,16
1970,Science,3
1970,Science Fiction,18
1970,Science Fiction Fantasy,18
1970,Scotland,1
1970,Scripture,1
1970,Self Help,6
1970,Semiotics,1
1970,Serbian Literature,1
1970,Sexuality,1
1970,Short Stories,9
1970,Short Story Collection,1
1970,Social,1
1970,Social Justice,1
1970,Sociology,5
1970,Southern,2
1970,Space,2
1970,Space Opera,3
1970,Spain,1
1970,Spanish Literature,3
1970,Speculative Fiction,7
1970,Spirituality,11
1970,Sports,1
1970,Steampunk,1
1970,Storytime,1
1970,Supernatural,1
1970,Survival,1
1970,Suspense,2
1970,Swedish Literature,1
1970,Sword and Sorcery,3
1970,Technology,1
1970,Textbooks,1
1970,The United States Of America,1
1970,Theatre,3
1970,Theology,7
1970,Theory,1
1970,Thriller,5
1970,Time Travel,2
1970,Travel,3
1970,True Crime,1
1970,Turkish,1
1970,Ukraine,1
1970,Ukrainian Literature,1
1970,Unfinished,4
1970,Victorian,3
1970,War,13
1970,Weird Fiction,1
1970,Westerns,5
1970,Womens,2
1970,Womens Studies,1
1970,World History,2
1970,World War II,3
1970,Writing,1
1970,Young Adult,18
1971,16th Century,1
1971,17th Century,1
1971,19th Century,9
1971,1st Grade,2
1971,20th Century,21
1971,Academic,1
1971,Action,1
1971,Adult,5
1971,Adult Fiction,4
1971,Adventure,16
1971,Africa,4
1971,African American,3
1971,African American Literature,1
1971,Alternate History,1
1971,American,16
1971,American History,1
1971,Americana,2
1971,Animals,5
1971,Anthologies,2
1971,Anthropology,2
1971,Architecture,1
1971,Art,3
1971,Asia,1
1971,Asian Literature,1
1971,Audiobook,16
1971,Autobiography,6
1971,Bande Dessinée,1
1971,Banned Books,1
1971,Batman,1
1971,Belgian,1
1971,Belgium,1
1971,Biography,11
1971,Biography Memoir,4
1971,Biology,2
1971,Book Club,1
1971,Books About Books,1
1971,Brazil,1
1971,British Literature,13
1971,Buddhism,1
1971,Canada,1
1971,Canadian Literature,1
1971,Catholic,1
1971,Cats,1
1971,Chapter Books,2
1971,Childrens,24
1971,Christian,8
1971,Christian Fiction,2
1971,Christian Living,2
1971,Christian Non Fiction,2
1971,Christianity,3
1971,Church History,1
1971,Classic Literature,4
1971,Classics,85
1971,Collections,1
1971,Comedy,7
1971,Comic Book,1
1971,Comics,2
1971,Coming Of Age,7
1971,Conspiracy Theories,1
1971,Contemporary,17
1971,Crime,4
1971,Cults,1
1971,Cultural,2
1971,Czech Literature,2
1971,Dark,4
1971,Dark Fantasy,1
1971,Dc Comics,1
1971,Detective,1
1971,Diary,1
1971,Discipleship,1
1971,Dragons,1
1971,Drama,6
1971,Dystopia,5
1971,Economics,4
1971,Education,2
1971,Emotion,1
1971,Engineering,1
1971,Environment,1
1971,Epic Fantasy,1
1971,Espionage,2
1971,Essays,5
1971,European History,1
1971,Evolution,1
1971,Fairy Tales,3
1971,Faith,4
1971,Family,2
1971,Fantasy,32
1971,Female Authors,1
1971,Feminism,4
1971,Fiction,100
1971,Film,1
1971,Folklore,2
1971,France,7
1971,French Literature,5
1971,Gay,1
1971,Gender,1
1971,Geography,1
1971,German Literature,6
1971,Germany,3
1971,Ghosts,2
1971,Gothic,2
1971,Graphic Novels,2
1971,Graphic Novels Comics,1
1971,Greece,2
1971,Harlequin,1
1971,Harlequin Romance,1
1971,High Fantasy,1
1971,High School,2
1971,Historical,27
1971,Historical Fiction,36
1971,Historical Romance,2
1971,History,19
1971,Holocaust,2
1971,Horror,9
1971,Hugo Awards,1
1971,Humor,22
1971,India,1
1971,Ireland,1
1971,Irish Literature,1
1971,Islam,3
1971,Japan,2
1971,Japanese Literature,2
1971,Journalism,1
1971,Juvenile,10
1971,Kids,5
1971,LGBT,2
1971,Language,1
1971,Latin American,2
1971,Latin American Literature,1
1971,Law,1
1971,Linguistics,1
1971,Literary Criticism,1
1971,Literary Fiction,15
1971,Literature,49
1971,Magic,4
1971,Magical Realism,1
1971,Manga,1
1971,Maritime,1
1971,Marriage,1
1971,Media Tie In,1
1971,Memoir,9
1971,Mental Health,2
1971,Mental Illness,1
1971,Middle Grade,9
1971,Military Fiction,4
1971,Military History,1
1971,Modern,2
1971,Modern Classics,1
1971,Monsters,1
1971,Murder Mystery,1
1971,Music,2
1971,Mystery,10
1971,Mystery Thriller,3
